order_id,product_id,quantity,supplier_id,order_date,delivery_date,transportation_mode,distance,weather_condition,delay
136,37,89,9,2023-05-16,2023-05-30,Sea,602.5411783397338,Bad,9
137,99,42,2,2023-05-17,2023-05-24,Air,464.7834802803278,Bad,2
138,44,89,3,2023-05-18,2023-06-04,Sea,601.0843929359819,Extreme,12
139,86,18,5,2023-05-19,2023-05-31,Sea,540.8634659649545,Good,7
140,91,40,5,2023-05-20,2023-05-27,Air,770.8374410694589,Bad,2
141,35,72,1,2023-05-21,2023-05-31,Air,318.3712626742097,Extreme,5
142,65,39,8,2023-05-22,2023-05-27,Road,385.39787202028725,Good,0
143,99,14,8,2023-05-23,2023-06-04,Sea,899.3895874065882,Good,7
144,47,32,4,2023-05-24,2023-05-31,Air,949.1336874928852,Bad,2
145,78,51,7,2023-05-25,2023-06-01,Road,897.9303161121508,Bad,2
146,3,38,10,2023-05-26,2023-05-31,Road,448.4755942594479,Good,0
147,1,97,3,2023-05-27,2023-06-08,Sea,791.3472278565376,Good,7
148,5,23,6,2023-05-28,2023-06-11,Sea,502.51894663604384,Bad,9
149,90,63,10,2023-05-29,2023-06-03,Road,522.6628595387971,Good,0
150,14,15,10,2023-05-30,2023-06-06,Air,244.44610360441976,Bad,2
151,27,97,9,2023-05-31,2023-06-05,Road,611.5737880955907,Good,0
152,9,25,1,2023-06-01,2023-06-15,Sea,226.82910286568054,Bad,9
153,79,17,5,2023-06-02,2023-06-12,Air,364.9864641138341,Extreme,5
154,15,97,4,2023-06-03,2023-06-10,Air,862.2786915389383,Bad,2
155,90,66,8,2023-06-04,2023-06-11,Road,246.72201875031246,Bad,2
156,42,78,1,2023-06-05,2023-06-22,Sea,117.60037091476117,Extreme,12
157,77,53,9,2023-06-06,2023-06-11,Road,115.55721298217549,Good,0
158,51,51,6,2023-06-07,2023-06-17,Road,943.7452944779525,Extreme,5
159,63,39,4,2023-06-08,2023-06-15,Road,531.5744160637429,Bad,2
160,96,51,9,2023-06-09,2023-06-14,Air,438.9414682261674,Good,0
161,52,70,5,2023-06-10,2023-06-20,Air,820.3346519575225,Extreme,5
162,96,6,5,2023-06-11,2023-06-23,Sea,844.0346315149902,Good,7
163,4,67,5,2023-06-12,2023-06-24,Sea,365.5814814598244,Good,7
164,94,7,1,2023-06-13,2023-06-23,Road,708.9371546001055,Extreme,5
165,23,51,1,2023-06-14,2023-06-19,Road,782.5666750592923,Good,0
166,15,72,8,2023-06-15,2023-06-25,Road,671.9181525226568,Extreme,5
167,43,42,8,2023-06-16,2023-06-30,Sea,194.0153210600944,Bad,9
168,29,64,6,2023-06-17,2023-06-22,Air,882.0889293412042,Good,0
169,36,15,4,2023-06-18,2023-06-25,Air,562.1398250992082,Bad,2
170,13,29,2,2023-06-19,2023-06-26,Road,318.3488050515035,Bad,2
171,32,33,2,2023-06-20,2023-06-25,Road,453.9667761658092,Good,0
172,71,94,9,2023-06-21,2023-07-01,Road,85.69253587896202,Extreme,5
173,59,27,5,2023-06-22,2023-06-27,Road,171.47346116129668,Good,0
174,86,36,4,2023-06-23,2023-07-07,Sea,777.2694129900678,Bad,9
175,28,29,10,2023-06-24,2023-07-01,Air,50.01105301759783,Bad,2
176,66,38,1,2023-06-25,2023-07-05,Road,445.73753705817757,Extreme,5
177,42,57,7,2023-06-26,2023-07-08,Sea,546.384672031309,Good,7
178,45,97,3,2023-06-27,2023-07-04,Road,101.90269900092369,Bad,2
179,62,27,6,2023-06-28,2023-07-05,Road,974.4242548237162,Bad,2
180,57,55,5,2023-06-29,2023-07-06,Air,264.8190646871883,Bad,2
181,6,33,5,2023-06-30,2023-07-10,Road,338.98878365446683,Extreme,5
182,28,68,5,2023-07-01,2023-07-08,Air,338.74538664227595,Bad,2
183,28,86,1,2023-07-02,2023-07-09,Air,268.8958290114824,Bad,2
184,44,66,1,2023-07-03,2023-07-08,Air,51.400130981995844,Good,0
185,84,10,3,2023-07-04,2023-07-16,Sea,742.8775543835966,Good,7
186,30,5,10,2023-07-05,2023-07-19,Sea,968.5032248093211,Bad,9
187,62,74,4,2023-07-06,2023-07-13,Air,263.0788091207928,Bad,2
188,75,97,5,2023-07-07,2023-07-12,Road,679.8948322132513,Good,0
189,92,38,2,2023-07-08,2023-07-18,Air,754.8015106107794,Extreme,5
190,89,13,8,2023-07-09,2023-07-19,Road,856.0041101359985,Extreme,5
191,62,31,2,2023-07-10,2023-07-20,Air,451.4977371629287,Extreme,5
192,97,47,9,2023-07-11,2023-07-21,Road,337.78436035840775,Extreme,5
193,1,100,2,2023-07-12,2023-07-29,Sea,359.03037732187954,Extreme,12
194,27,88,9,2023-07-13,2023-07-23,Road,726.9902664435872,Extreme,5
195,62,52,7,2023-07-14,2023-07-24,Air,825.9404931803542,Extreme,5
196,77,56,8,2023-07-15,2023-08-01,Sea,222.53326936877252,Extreme,12
197,3,15,2,2023-07-16,2023-07-21,Road,402.39395774987696,Good,0
198,70,29,7,2023-07-17,2023-07-27,Road,906.8431869116926,Extreme,5
199,72,8,6,2023-07-18,2023-07-28,Road,816.3588437100022,Extreme,5
200,27,5,4,2023-07-19,2023-07-29,Road,985.615482624352,Extreme,5
201,9,29,7,2023-07-20,2023-07-27,Road,766.5358466979767,Bad,2
202,62,47,4,2023-07-21,2023-08-02,Sea,423.53544097652616,Good,7
203,37,68,2,2023-07-22,2023-08-03,Sea,611.1059422949058,Good,7
204,97,76,10,2023-07-23,2023-08-04,Sea,677.9635415349543,Good,7
205,51,45,7,2023-07-24,2023-08-10,Sea,124.53302550126776,Extreme,12
206,44,2,8,2023-07-25,2023-08-04,Air,567.2721111486718,Extreme,5
207,24,27,2,2023-07-26,2023-08-09,Sea,723.8547870489791,Bad,9
208,79,95,5,2023-07-27,2023-08-01,Road,208.95523880100737,Good,0
209,59,36,1,2023-07-28,2023-08-07,Road,791.6001315542793,Extreme,5
210,32,36,7,2023-07-29,2023-08-10,Sea,604.5841414884061,Good,7
211,96,26,8,2023-07-30,2023-08-06,Road,954.6106964127149,Bad,2
212,88,43,6,2023-07-31,2023-08-14,Sea,90.30118329654711,Bad,9
213,52,27,5,2023-08-01,2023-08-08,Road,302.05983067769364,Bad,2
214,62,69,6,2023-08-02,2023-08-07,Air,621.4761853348328,Good,0
215,58,20,2,2023-08-03,2023-08-13,Air,331.7319165956342,Extreme,5
216,52,11,1,2023-08-04,2023-08-21,Sea,728.7029558676801,Extreme,12
217,12,74,7,2023-08-05,2023-08-19,Sea,771.0550183958344,Bad,9
218,39,38,7,2023-08-06,2023-08-23,Sea,147.39016586315074,Extreme,12
219,2,6,10,2023-08-07,2023-08-14,Road,538.1617409964293,Bad,2
220,3,72,10,2023-08-08,2023-08-20,Sea,533.4460278115031,Good,7
221,56,23,2,2023-08-09,2023-08-16,Air,400.81673170476404,Bad,2
222,81,47,2,2023-08-10,2023-08-15,Road,936.2786194411885,Good,0
223,59,90,1,2023-08-11,2023-08-25,Sea,836.1310038795601,Bad,9
224,2,46,10,2023-08-12,2023-08-22,Road,712.3489128141549,Extreme,5
225,2,12,8,2023-08-13,2023-08-23,Road,728.6103039482476,Extreme,5
226,92,90,8,2023-08-14,2023-08-28,Sea,488.6303366224631,Bad,9
227,54,13,1,2023-08-15,2023-08-25,Road,924.944795041747,Extreme,5
228,87,62,8,2023-08-16,2023-08-26,Air,709.8656558906212,Extreme,5
229,96,82,9,2023-08-17,2023-08-27,Air,742.5320085730256,Extreme,5
230,97,89,4,2023-08-18,2023-08-23,Road,868.606358597978,Good,0
231,1,97,1,2023-08-19,2023-09-05,Sea,310.36800987508144,Extreme,12
232,19,60,1,2023-08-20,2023-08-25,Road,816.7173586733678,Good,0
233,2,43,3,2023-08-21,2023-08-28,Air,235.47857280866742,Bad,2
234,53,76,5,2023-08-22,2023-09-01,Road,378.07485463264345,Extreme,5
235,44,100,5,2023-08-23,2023-09-02,Road,368.8299315563506,Extreme,5
236,90,68,9,2023-08-24,2023-09-03,Air,979.5991949696835,Extreme,5
237,32,5,10,2023-08-25,2023-09-01,Road,863.7103625605305,Bad,2
238,70,37,2,2023-08-26,2023-08-31,Road,716.1113685107467,Good,0
239,32,72,2,2023-08-27,2023-09-08,Sea,740.7039235346206,Good,7
240,68,92,6,2023-08-28,2023-09-14,Sea,583.9691546824425,Extreme,12
241,55,31,9,2023-08-29,2023-09-05,Air,949.7361337530931,Bad,2
242,75,9,1,2023-08-30,2023-09-06,Air,521.4458152382435,Bad,2
243,56,51,9,2023-08-31,2023-09-07,Air,411.4918243763998,Bad,2
244,17,29,9,2023-09-01,2023-09-15,Sea,204.88357008501146,Bad,9
245,38,78,9,2023-09-02,2023-09-09,Air,796.895369648005,Bad,2
246,24,40,5,2023-09-03,2023-09-08,Air,747.7217354718118,Good,0
247,69,41,9,2023-09-04,2023-09-09,Air,415.13728659792815,Good,0
248,98,86,4,2023-09-05,2023-09-17,Sea,73.93374326126789,Good,7
249,70,11,2,2023-09-06,2023-09-16,Road,847.0474613321102,Extreme,5
250,86,23,6,2023-09-07,2023-09-14,Air,60.84708428136995,Bad,2
251,11,1,4,2023-09-08,2023-09-18,Road,718.5147906475984,Extreme,5
252,16,46,6,2023-09-09,2023-09-16,Air,971.7442542397542,Bad,2
253,97,21,3,2023-09-10,2023-09-15,Road,465.7782617407933,Good,0
254,73,90,6,2023-09-11,2023-09-28,Sea,273.22473474615515,Extreme,12
255,59,36,2,2023-09-12,2023-09-24,Sea,719.6274595412126,Good,7
256,70,54,2,2023-09-13,2023-09-20,Air,826.2717349148058,Bad,2
257,80,87,9,2023-09-14,2023-09-21,Road,569.1088002739549,Bad,2
258,93,57,7,2023-09-15,2023-09-29,Sea,968.6835114933389,Bad,9
259,3,1,3,2023-09-16,2023-09-21,Air,99.08528557506304,Good,0
260,20,63,1,2023-09-17,2023-09-24,Air,529.5558183893017,Bad,2
261,59,54,8,2023-09-18,2023-09-30,Sea,732.5312499564226,Good,7
262,36,55,6,2023-09-19,2023-10-06,Sea,869.50844759172,Extreme,12
263,19,40,7,2023-09-20,2023-09-27,Air,220.29283131240055,Bad,2
264,90,15,9,2023-09-21,2023-09-28,Road,810.0033076754974,Bad,2
265,67,21,5,2023-09-22,2023-09-29,Road,575.0717219326181,Bad,2
266,19,47,1,2023-09-23,2023-10-03,Road,426.72599789046507,Extreme,5
267,20,73,10,2023-09-24,2023-10-01,Air,175.12927715013888,Bad,2
268,96,53,7,2023-09-25,2023-10-07,Sea,872.0309709634668,Good,7
269,71,9,5,2023-09-26,2023-10-01,Air,199.40954777072957,Good,0
270,52,74,3,2023-09-27,2023-10-11,Sea,344.2984662486443,Bad,9
271,33,52,9,2023-09-28,2023-10-05,Road,325.54325536431503,Bad,2
272,40,57,1,2023-09-29,2023-10-09,Road,877.8433324813116,Extreme,5
273,39,26,1,2023-09-30,2023-10-17,Sea,689.0678444984532,Extreme,12
274,82,41,1,2023-10-01,2023-10-18,Sea,806.8473273318037,Extreme,12
275,1,35,3,2023-10-02,2023-10-09,Air,287.94450385287405,Bad,2
276,11,63,6,2023-10-03,2023-10-13,Road,643.6303946266489,Extreme,5
277,92,25,10,2023-10-04,2023-10-14,Air,593.1586839865613,Extreme,5
278,57,90,3,2023-10-05,2023-10-10,Air,841.1888579488575,Good,0
279,89,75,8,2023-10-06,2023-10-16,Air,910.7827074571975,Extreme,5
280,50,38,10,2023-10-07,2023-10-12,Road,61.54893290351747,Good,0
281,23,2,2,2023-10-08,2023-10-13,Air,690.3189231058531,Good,0
282,31,7,9,2023-10-09,2023-10-19,Air,99.24400916374256,Extreme,5
283,94,82,3,2023-10-10,2023-10-15,Air,571.4157318234882,Good,0
284,42,91,5,2023-10-11,2023-10-18,Air,323.2510925914943,Bad,2
285,99,34,10,2023-10-12,2023-10-19,Air,341.43776954603413,Bad,2
286,7,91,8,2023-10-13,2023-10-23,Air,385.31057827973876,Extreme,5
287,16,17,2,2023-10-14,2023-10-21,Road,640.2278265971296,Bad,2
288,90,43,6,2023-10-15,2023-10-20,Air,367.34746738533073,Good,0
289,60,59,5,2023-10-16,2023-10-30,Sea,746.0640980607664,Bad,9
290,2,51,10,2023-10-17,2023-10-27,Air,434.3010162951762,Extreme,5
291,1,54,9,2023-10-18,2023-10-28,Air,114.93554029446068,Extreme,5
292,48,24,5,2023-10-19,2023-10-24,Road,794.5718503599019,Good,0
293,12,25,2,2023-10-20,2023-10-30,Road,321.4704083630707,Extreme,5
294,69,71,5,2023-10-21,2023-11-04,Sea,461.1285356192995,Bad,9
295,37,52,4,2023-10-22,2023-11-08,Sea,701.1716890608064,Extreme,12
296,32,70,7,2023-10-23,2023-10-28,Road,365.8333492912764,Good,0
297,9,88,6,2023-10-24,2023-11-03,Road,103.75637333937985,Extreme,5
298,99,33,2,2023-10-25,2023-11-01,Air,405.2249946621729,Bad,2
299,19,49,5,2023-10-26,2023-10-31,Road,947.2261535595883,Good,0
300,48,29,7,2023-10-27,2023-11-10,Sea,659.6476774336303,Bad,9
301,80,63,7,2023-10-28,2023-11-02,Air,687.9051912338466,Good,0
302,3,22,5,2023-10-29,2023-11-15,Sea,650.6680459557579,Extreme,12
303,20,26,9,2023-10-30,2023-11-04,Air,239.04253201146494,Good,0
304,24,28,4,2023-10-31,2023-11-05,Road,447.4171708971661,Good,0
305,54,85,3,2023-11-01,2023-11-18,Sea,763.3928084451524,Extreme,12
306,33,49,4,2023-11-02,2023-11-09,Air,146.30425267550117,Bad,2
307,24,71,5,2023-11-03,2023-11-13,Air,313.96013728522666,Extreme,5
308,75,81,6,2023-11-04,2023-11-09,Road,312.50315304256094,Good,0
309,72,84,3,2023-11-05,2023-11-15,Road,460.4179812147807,Extreme,5
310,36,49,2,2023-11-06,2023-11-11,Road,981.3503038950759,Good,0
311,38,20,4,2023-11-07,2023-11-24,Sea,114.12741934963084,Extreme,12
312,84,86,5,2023-11-08,2023-11-18,Air,542.7659446615653,Extreme,5
313,99,92,4,2023-11-09,2023-11-16,Road,220.39644791159992,Bad,2
314,89,63,3,2023-11-10,2023-11-22,Sea,972.1427181392569,Good,7
315,99,61,8,2023-11-11,2023-11-25,Sea,157.63832949109099,Bad,9
316,25,49,10,2023-11-12,2023-11-24,Sea,433.4209522435117,Good,7
317,93,71,4,2023-11-13,2023-11-23,Road,750.9907355928759,Extreme,5
318,18,1,2,2023-11-14,2023-11-19,Road,719.326706626073,Good,0
319,82,96,2,2023-11-15,2023-11-22,Air,451.59220504923564,Bad,2
320,66,13,1,2023-11-16,2023-11-23,Air,379.1979595550823,Bad,2
321,54,94,4,2023-11-17,2023-11-24,Road,427.731759625227,Bad,2
322,35,87,10,2023-11-18,2023-11-30,Sea,301.0624500007073,Good,7
323,80,51,9,2023-11-19,2023-12-03,Sea,245.06629177145982,Bad,9
324,61,56,7,2023-11-20,2023-12-04,Sea,508.88771268094547,Bad,9
325,41,83,10,2023-11-21,2023-11-28,Air,305.107068264227,Bad,2
326,100,62,7,2023-11-22,2023-12-09,Sea,323.08858165238763,Extreme,12
327,33,32,7,2023-11-23,2023-12-03,Air,673.9182603008292,Extreme,5
328,68,30,8,2023-11-24,2023-11-29,Air,970.1104651148976,Good,0
329,33,29,1,2023-11-25,2023-12-07,Sea,623.4553405314064,Good,7
330,14,49,10,2023-11-26,2023-12-10,Sea,123.13049371171796,Bad,9
331,21,45,10,2023-11-27,2023-12-07,Road,121.80443316136363,Extreme,5
332,48,93,8,2023-11-28,2023-12-05,Road,953.8520598032877,Bad,2
333,20,30,4,2023-11-29,2023-12-13,Sea,332.42625079196694,Bad,9
334,8,16,4,2023-11-30,2023-12-10,Air,137.46363677835166,Extreme,5
335,7,40,4,2023-12-01,2023-12-11,Air,619.0923577928625,Extreme,5
336,67,19,6,2023-12-02,2023-12-12,Air,642.4663393757528,Extreme,5
337,17,18,7,2023-12-03,2023-12-08,Air,666.0795791127538,Good,0
338,33,1,6,2023-12-04,2023-12-09,Air,304.03192646466425,Good,0
339,48,78,1,2023-12-05,2023-12-12,Road,64.35515000375128,Bad,2
340,76,47,8,2023-12-06,2023-12-18,Sea,966.7646009817482,Good,7
341,59,66,10,2023-12-07,2023-12-17,Road,288.34839340654736,Extreme,5
342,86,92,7,2023-12-08,2023-12-18,Air,692.2249736499201,Extreme,5
343,22,94,6,2023-12-09,2023-12-14,Air,721.2983763847741,Good,0
344,30,38,6,2023-12-10,2023-12-17,Air,629.5070462255114,Bad,2
345,38,51,5,2023-12-11,2023-12-18,Air,347.2620245029658,Bad,2
346,51,63,6,2023-12-12,2023-12-24,Sea,307.54144107586245,Good,7
347,54,4,9,2023-12-13,2023-12-20,Air,617.784868567568,Bad,2
348,8,1,10,2023-12-14,2023-12-28,Sea,872.7908519311069,Bad,9
349,27,8,9,2023-12-15,2023-12-22,Air,949.3970424772258,Bad,2
350,27,29,10,2023-12-16,2024-01-02,Sea,150.61051418356976,Extreme,12
351,98,55,8,2023-12-17,2023-12-27,Road,197.08718196783386,Extreme,5
352,21,3,10,2023-12-18,2023-12-23,Air,947.4994458439256,Good,0
353,30,32,9,2023-12-19,2024-01-05,Sea,749.708466918053,Extreme,12
